2021-03-28 22:44:35,447 INFO: Binance Trader v0.0.2
2021-03-28 22:44:36,016 INFO: XRP balance: 0.0
2021-03-28 22:44:36,016 INFO: USDT balance: 10000.0
2021-03-28 22:44:36,018 INFO: XRP balance: 0.0
2021-03-28 22:44:36,018 INFO: USDT balance: 10000.0
2021-03-28 22:44:36,020 INFO: XRP balance: 0.0
2021-03-28 22:44:36,020 INFO: USDT balance: 10000.0
2021-03-28 22:45:18,112 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54425 IFTSTOCH: 0.9446503823777118
2021-03-28 22:45:18,376 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54425 IFTSTOCH: 0.9446503823777118
2021-03-28 22:45:18,643 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54425 IFTSTOCH: 0.9446503823777118
2021-03-28 22:45:19,451 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54426 IFTSTOCH: 0.9464608958262034
2021-03-28 22:45:19,744 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54422 IFTSTOCH: 0.9388549321636731
2021-03-28 22:45:19,983 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54422 IFTSTOCH: 0.9388549321636731
2021-03-28 22:45:20,799 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54424 IFTSTOCH: 0.9427804432482803
2021-03-28 22:45:21,127 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54424 IFTSTOCH: 0.9427804432482803
2021-03-28 22:45:21,335 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54424 IFTSTOCH: 0.9427804432482803
2021-03-28 22:45:22,150 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54424 IFTSTOCH: 0.9427804432482803
2021-03-28 22:45:22,481 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54424 IFTSTOCH: 0.9427804432482803
2021-03-28 22:45:22,657 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54424 IFTSTOCH: 0.9427804432482803
2021-03-28 22:45:23,506 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54428 IFTSTOCH: 0.9499107193623485
2021-03-28 22:45:23,851 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54428 IFTSTOCH: 0.9499107193623485
2021-03-28 22:45:24,020 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54428 IFTSTOCH: 0.9499107193623485
2021-03-28 22:45:24,913 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54428 IFTSTOCH: 0.9499107193623485
2021-03-28 22:45:25,197 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54428 IFTSTOCH: 0.9499107193623485
2021-03-28 22:45:25,411 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54428 IFTSTOCH: 0.9499107193623485
2021-03-28 22:45:26,253 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54426 IFTSTOCH: 0.9464608958262034
2021-03-28 22:45:26,257 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) upperzone 0.9464
2021-03-28 22:45:26,258 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) middlezone 0.9471
2021-03-28 22:45:26,258 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) bottomzone 0.944
2021-03-28 22:45:26,543 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54426 IFTSTOCH: 0.9464608958262034
2021-03-28 22:45:26,792 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54425 IFTSTOCH: 0.9446503823777118
2021-03-28 22:45:27,906 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54425 IFTSTOCH: 0.9446503823777118
2021-03-28 22:45:28,234 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54425 IFTSTOCH: 0.9446503823777118
2021-03-28 22:45:28,235 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) bottomzone 0.9488
2021-03-28 22:45:28,553 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54425 IFTSTOCH: 0.9446503823777118
2021-03-28 22:45:29,274 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54425 IFTSTOCH: 0.9446503823777118
2021-03-28 22:45:29,551 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54425 IFTSTOCH: 0.9446503823777118
2021-03-28 22:45:29,896 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54422 IFTSTOCH: 0.9388549321636731
2021-03-28 22:45:30,624 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54422 IFTSTOCH: 0.9388549321636731
2021-03-28 22:45:30,890 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54431 IFTSTOCH: 0.9546827727622589
2021-03-28 22:45:31,246 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54431 IFTSTOCH: 0.9546827727622589
2021-03-28 22:45:31,960 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54428 IFTSTOCH: 0.9499107193623485
2021-03-28 22:45:32,208 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54428 IFTSTOCH: 0.9499107193623485
2021-03-28 22:45:32,209 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) bottomzone 0.948
2021-03-28 22:45:32,597 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54428 IFTSTOCH: 0.9499107193623485
2021-03-28 22:45:33,284 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54427 IFTSTOCH: 0.9482137635906812
2021-03-28 22:45:33,544 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54427 IFTSTOCH: 0.9482137635906812
2021-03-28 22:45:33,547 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) upperzone 0.9481
2021-03-28 22:45:33,957 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54427 IFTSTOCH: 0.9482137635906812
